model,pooling,seq_len,hidden,P_success,mean_best_acc,std_best_acc,mean_steps
gru,attn,2000,4,1.0,1.0,0.0,366.6666666666667
gru,attn,5000,4,1.0,1.0,0.0,433.3333333333333
gru,attn,10000,4,1.0,1.0,0.0,533.3333333333334
gru,attn,20000,4,1.0,1.0,0.0,566.6666666666666
