model,pooling,seq_len,hidden,P_success,mean_best_acc,std_best_acc,mean_steps
rnn,last,10,16,1.0,1.0,0.0,300.0
rnn,last,20,16,0.3333333333333333,0.6953125,0.26386711521557116,500.0
rnn,last,30,16,0.0,0.5143229166666666,0.019269073680922847,600.0
rnn,last,40,16,0.0,0.5416666666666666,0.0011276372445109797,600.0
rnn,last,50,16,0.0,0.5208333333333334,0.0056381862225549475,600.0
