model,pooling,task_variant,seq_len,hidden,seed,best_test_acc,success,steps_ran,train_time_sec,student_id,file_tag
rnn,last,distractors,12,16,0,1.0,1,300,0.5597140789031982,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,12,16,1,1.0,1,300,0.5329008102416992,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,12,16,2,1.0,1,300,0.5152418613433838,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,15,16,0,1.0,1,300,0.5482058525085449,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,15,16,1,1.0,1,300,0.5448472499847412,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,15,16,2,1.0,1,300,0.5426919460296631,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,18,16,0,1.0,1,600,1.136936902999878,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,18,16,1,1.0,1,300,0.5670461654663086,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,18,16,2,1.0,1,300,0.5727920532226562,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,22,16,0,0.517578125,0,600,1.2133231163024902,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,22,16,1,1.0,1,300,0.624060869216919,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,22,16,2,1.0,1,400,0.8352220058441162,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,25,16,0,0.52734375,0,600,1.375917673110962,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,25,16,1,1.0,1,500,1.123225212097168,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,25,16,2,1.0,1,300,0.6773109436035156,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,28,16,0,0.525390625,0,600,1.4884130954742432,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,28,16,1,1.0,1,500,1.167219877243042,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
rnn,last,distractors,28,16,2,1.0,1,300,0.6869580745697021,mszab,mszab_20260215_132317_distractors_rnn_h16_poollast_seq12-28_n6_seed0-2
