model,pooling,task_variant,seq_len,hidden,seed,best_test_acc,success,steps_ran,train_time_sec,student_id,file_tag
rnn,attn,distractors,1,128,0,1.0,1,300,0.4899277687072754,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,1,128,1,1.0,1,300,0.4549283981323242,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,1,128,2,1.0,1,300,0.6581549644470215,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,128,0,1.0,1,300,0.566756010055542,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,128,1,1.0,1,300,0.5041451454162598,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,128,2,1.0,1,300,0.49030566215515137,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,128,0,1.0,1,300,0.8626818656921387,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,128,1,1.0,1,300,0.6308045387268066,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,128,2,1.0,1,300,0.7648522853851318,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,128,0,1.0,1,300,0.8985795974731445,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,128,1,1.0,1,300,0.8901190757751465,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,128,2,1.0,1,300,0.884993314743042,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,128,0,1.0,1,300,1.1853699684143066,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,128,1,1.0,1,300,1.3306694030761719,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,128,2,1.0,1,300,1.3227167129516602,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,128,0,1.0,1,300,1.444777488708496,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,128,1,1.0,1,300,1.5302948951721191,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,128,2,1.0,1,300,1.4886114597320557,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,128,0,1.0,1,300,1.8723995685577393,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,128,1,1.0,1,300,1.9068489074707031,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,128,2,1.0,1,300,1.9068658351898193,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,128,0,1.0,1,300,2.3119914531707764,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,128,1,1.0,1,300,2.286435604095459,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,128,2,1.0,1,300,2.3168206214904785,anon76,anon76_20260213_130702_distractors_rnn_h128_poolattn_seq1-50_n8_seed0-2
