model,pooling,task_variant,seq_len,hidden,seed,best_test_acc,success,steps_ran,train_time_sec,student_id,file_tag
rnn,attn,distractors,1,8,0,1.0,1,300,0.4305078983306885,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,1,8,1,1.0,1,300,0.4278106689453125,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,1,8,2,1.0,1,300,0.38451409339904785,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,8,0,1.0,1,300,0.421586275100708,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,8,1,1.0,1,300,0.42162466049194336,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,2,8,2,1.0,1,300,0.4260387420654297,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,8,0,1.0,1,300,0.4402933120727539,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,8,1,1.0,1,300,0.45124006271362305,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,5,8,2,1.0,1,300,0.4673154354095459,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,8,0,1.0,1,300,0.5120110511779785,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,8,1,1.0,1,300,0.5080337524414062,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,10,8,2,1.0,1,300,0.5413908958435059,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,8,0,1.0,1,300,0.6542882919311523,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,8,1,1.0,1,300,0.6427309513092041,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,20,8,2,1.0,1,300,0.6066372394561768,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,8,0,1.0,1,300,0.7693214416503906,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,8,1,1.0,1,300,0.777085542678833,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,30,8,2,1.0,1,300,0.7978975772857666,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,8,0,1.0,1,300,0.8893013000488281,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,8,1,1.0,1,300,1.025963544845581,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,40,8,2,1.0,1,300,0.9430968761444092,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,8,0,1.0,1,300,0.9856362342834473,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,8,1,1.0,1,300,0.9820024967193604,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
rnn,attn,distractors,50,8,2,1.0,1,300,1.0148289203643799,anon76,anon76_20260213_130422_distractors_rnn_h8_poolattn_seq1-50_n8_seed0-2
